Cancer type	Gene/Protein name	Number of mutations	Gene/Protein length	Somatic Mutation Frequency (SMF)
COREAD 	MAPK1	33	98652	2989.454545
HNSC	RRAGD	18	47661	2647.83333
CM/LUSC	PRKACB	32	40800	1275
COREAD 	STIL	61	64009	1049.327869
UCEC 	PKHD1	358	366777	1024.51676
UCEC	ALDH1A1	53	52656	993.509434
BLCA 	SLC15A1	74	68875	930.7432432
BRCA 	TCF15	7	6274	896.2857143
CM 	RBP1	15	13425	895
CM 	SCD	20	17817	890.85
HC 	PEBP1	11	9705	882.2727273
LUSC 	MAPK6	55	47052	855.4909091
UCEC 	SLC9A2	110	91817	834.7
LUAD 	PLOD1	52	40876	786.0769231
STAD	ETNK1	28	19274	688.357143
HNSC 	TGM3	71	45113	635.3943662
SCLC 	SLC12A3	82	50644	617.6097561
LGG 	SULT2B1	39	23692	607.4871795
GBM/CM	SULT1E1	33	18941	573.969697
BRCA	PRPF19	30	16042	534.7333333
HC 	S100A11	9	4530	503.3333333
GBM 	PEX5	42	21122	502.9047619
CM 	TAL1	32	15426	482.0625
CM 	SUV39H1	26	12283	472.4230769
LUAD 	PDK4	28	13117	468.4642857
HNSC 	TFAP2B	63	28888	458.5396825
STAD 	PGM3	60	27164	452.7333333
HNSC	OSGIN1	29	13111	452.103448
HC	SNRPB	21	9219	439
UCEC	CHST6	50	21905	438.1
COREAD	CERCAM	39	16872	432.615385
BRCA 	SCNN1G	79	34161	432.4177215
AML 	RBM3	16	6813	425.8125
COREAD	SLC28A2	57	23705	415.877193
RCCC	ALG12	37	15253	412.243243
UCEC 	PITX3	28	11286	403.0714286
COREAD 	PPM1G	74	28485	384.9324324
CM/PRAD	PFKM	62	23758	383.1935484
LUSC/UCEC	RIT1	35	13108	374.5142857
STAD	RUNX1T1	168	62714	373.297619
COREAD	OBSCN	412	153121	371.652913
COREAD 	SFTPB	31	11425	368.5483871
BRCA 	POU3F1	8	2928	366
BRCA	CXCL12	23	8036	349.3913043
SCLC	COX17	24	7872	328
COREAD	ZKSCAN2	66	21534	326.272727
UCEC 	SOX11	27	8719	322.9259259
THCA 	PIP	24	7661	319.2083333
LUAD/PRAD 	PPP1R10	57	16907	296.6140351
STAD 	SRY	3	887	295.6666667
OV 	POLR2A	106	30238	285.2641509
COREAD	SNRPD2	16	4539	283.6875
RCCC 	XCL1	20	5605	280.25
LUSC	SLC9A5	85	23240	273.411765
LUAD 	PIM1	21	5283	251.5714286
RCCC/BLCA	SFRP2	34	8487	249.6176471
CM 	STC1	53	12887	243.1509434
CM 	PYCR1	20	4854	242.7
LUAD	ITPKA	40	9702	242.55
OV 	POU3F3	19	4506	237.1578947
STAD 	SRMS	32	7581	236.90625
HNSC	TNKS1BP1	110	25311	230.1
THCA 	PIGR	78	17945	230.0641026
BRCA	SLC52A3	37	8505	229.864865
BLCA 	PLXNB1	112	25612	228.6785714
BRCA	HAP1	54	12008	222.3703704
COREAD	BRD8	101	21786	215.70297
ESCA/SCLC	CCL3	9	1904	211.5555556
HC	ANG	26	5414	208.2307692
BRCA 	PROP1	20	4008	200.4
HC	PGLYRP2	56	10859	193.9107143
THCA	NOLC1	62	11696	188.6451613
CM 	LEFTY2	26	4895	188.2692308
CLL 	PTMS	25	4636	185.44
HNSC	CCNA1	62	10611	171.1451613
LUAD	SIX3	26	4180	160.7692308
CM 	SRF	59	9117	154.5254237
COREAD	FES	70	10731	153.3
CLL 	MAP2K7	73	10704	146.630137
RCCC	GRB7	51	7319	143.5098039
AML 	SPTA1	543	76010	139.9815838
BRCA 	CCL1	21	2906	138.3809524
THCA 	RXRG	64	8428	131.6875
PA	FCER1G	32	3952	123.5
UCEC	PCOLCE	51	5917	116.019608
PRAD	MBD1	94	10733	114.1808511
BRCA/HNSC	TAPBP	104	10743	103.2980769
LUAD	KRT18	38	3843	101.1315789
UCEC	MYH4	294	26269	89.35034014
LUSC 	SSTR5	30	2674	89.13333333
RCCC	SPHK1	34	2653	78.02941176
GBM	NES	113	8634	76.40707965
ESCA 	SSTR1	67	5065	75.59701493
RCCC 	PBX2	74	5451	73.66216216
LUAD 	PLP2	47	3285	69.89361702
ESCA 	RAG1	180	11748	65.26666667
COREAD 	S100A8	15	945	63
UCEC	PNMT	34	2023	59.5
RCCC	FTL	29	1571	54.17241379
SCLC	GLMP	57	3003	52.68421053
THCA	IFNA8	20	1039	51.95
BRCA 	SLC1A3	58	2943	50.74137931
LUAD 	SOX15	40	1991	49.775
THCA	EPHA10	100	4880	48.8
UCEC 	PTPRCAP	53	2173	41
BRCA	DAXX	109	4458	40.89908257
OV 	PRM1	13	500	38.46153846
BRCA	FKBPL	45	1584	35.2
THCA	SOD1	332	9309	28.03915663
GBM	SPEG	224	6051	27.01339286
BLCA 	PGK2	96	1690	17.60416667
BRCA	HIST1H2AC	47	546	11.61702128
